id,word,part_of_speech,korean_meaning,korean_pronunciation,example_sentence,example_translation,category,difficulty,tags,starred
970,date,noun,날짜; 데이트,데이트,Have you set a date for the wedding yet?,결혼식 날짜는 정했어?,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
971,army,noun,군대; 육군,아미,His brother joined the army right after high school.,그의 형은 고등학교 졸업하자마자 군대에 갔어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
972,charge,noun,요금; 기소,차지,There's no extra charge for delivery this week.,이번 주는 배송 추가 요금이 없어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
973,seat,noun,자리; 좌석,시트,"Is this seat taken, or can I sit here?","이 자리 주인 있나요, 아니면 앉아도 될까요?",conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
974,assume,verb,가정하다; 추측하다,어숨,"I assumed you were coming, so I bought extra food.",네가 올 줄 알고 음식을 더 샀어.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
975,writer,noun,작가,라이터,The writer spent five years on her first novel.,그 작가는 첫 소설에 5년을 쏟았어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
976,perform,verb,공연하다; 수행하다,퍼폼,The band will perform at the festival this weekend.,그 밴드는 이번 주말 축제에서 공연할 거야.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
977,credit,noun,신용; 공로,크레딧,I paid for the groceries with my credit card.,장 본 것을 신용카드로 계산했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
978,green,adjective,초록색의; 녹색의,그린,The hills turn green in the spring.,봄이 되면 언덕이 초록색으로 변해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
979,marriage,noun,결혼; 결혼 생활,매리지,They celebrated thirty years of marriage last week.,그들은 지난주에 결혼 30주년을 기념했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
980,operation,noun,수술; 작전; 운영,아퍼레이션,My father is recovering well after his operation.,아버지는 수술 후에 잘 회복하고 계셔.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
981,indeed,adverb,정말로; 참으로,인디드,The view from the roof was indeed amazing.,옥상에서 본 경치는 정말로 굉장했어.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
982,sleep,verb,자다,슬립,I didn't sleep well because of the heat.,더위 때문에 잠을 잘 못 잤어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
983,necessary,adjective,필요한; 필수적인,네서세리,Is it necessary to book a table in advance?,미리 테이블을 예약해야 하나요?,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
984,reveal,verb,드러내다; 밝히다,리빌,She finally revealed the secret about the surprise party.,그녀가 마침내 깜짝 파티의 비밀을 밝혔어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
985,agent,noun,대리인; 요원,에이전트,Our travel agent found us a cheap flight.,여행사 직원이 저렴한 항공편을 찾아 줬어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
986,access,noun,접근; 이용 권한,액세스,The hotel offers free access to the gym.,그 호텔은 헬스장을 무료로 이용하게 해 줘.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
987,bar,noun,술집; 바,바,Let's meet at the bar near the office after work.,퇴근하고 사무실 근처 술집에서 만나자.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
988,debate,noun,토론; 논쟁,디베이트,The debate about the new park lasted two hours.,새 공원에 대한 토론이 두 시간 동안 계속됐어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
989,leg,noun,다리,레그,My legs are sore from yesterday's hike.,어제 등산 때문에 다리가 아파.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
990,contain,verb,포함하다; 담고 있다,컨테인,This snack contains a lot of sugar.,이 과자에는 설탕이 많이 들어 있어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
991,beat,verb,이기다; 두드리다,비트,Our team beat them three to one last night.,어젯밤 우리 팀이 3 대 1로 이겼어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
992,cool,adjective,시원한; 멋진,쿨,The evening air feels cool after the hot day.,더운 날 뒤라 저녁 공기가 시원하네.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
993,democratic,adjective,민주적인; 민주주의의,데머크래틱,Voting is a basic part of any democratic country.,투표는 모든 민주주의 국가의 기본이야.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
994,cold,adjective,차가운; 추운,콜드,Put on a jacket; it's cold outside today.,"재킷 입어, 오늘 밖이 추워.",conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
995,glass,noun,유리; 유리잔,글래스,"Could I get a glass of water, please?",물 한 잔 주시겠어요?,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
996,improve,verb,개선하다; 향상시키다,임프루브,Your Korean has improved a lot since last year.,네 한국어가 작년보다 많이 늘었어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
997,adult,noun,성인; 어른,어덜트,Tickets cost ten dollars for adults and five for kids.,"표는 성인 10달러, 어린이 5달러야.",conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
998,trade,noun,무역; 거래,트레이드,The two countries agreed to expand trade this year.,두 나라는 올해 무역을 확대하기로 합의했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
999,religious,adjective,종교적인; 독실한,릴리저스,Her family is quite religious and goes to church weekly.,그녀의 가족은 꽤 독실해서 매주 교회에 가.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1000,review,noun,후기; 검토,리뷰,I always read reviews before trying a new restaurant.,새 식당에 가기 전에 항상 후기를 읽어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1001,address,verb,다루다; 처리하다; 연설하다,어드레스,The manager promised to address our complaints soon.,매니저가 우리 불만 사항을 곧 처리하겠다고 약속했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1002,association,noun,협회; 연관,어소시에이션,He joined the neighborhood association last spring.,그는 지난봄에 주민 협회에 가입했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1003,measure,noun,조치; 측정,메저,The city took new measures to reduce traffic.,시는 교통량을 줄이기 위한 새 조치를 취했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1004,stock,noun,주식; 재고,스탁,He put some of his savings into stocks.,그는 저축의 일부를 주식에 넣었어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1005,gas,noun,가스; 휘발유,개스,We need to stop for gas before the highway.,고속도로 타기 전에 주유하러 들러야 해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1006,deep,adjective,깊은,딥,"Be careful, the water is deep at that end of the pool.","조심해, 수영장 저쪽 끝은 물이 깊어.",conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1007,lawyer,noun,변호사,로이어,You should talk to a lawyer before signing anything.,뭐든 서명하기 전에 변호사와 상담하는 게 좋아.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1008,production,noun,생산; 제작,프러덕션,The factory increased production to meet demand.,공장은 수요를 맞추려고 생산을 늘렸어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1009,relate,verb,관련되다; 공감하다,릴레이트,I can really relate to what you're going through.,네가 겪고 있는 일에 정말 공감해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1010,middle,adjective,가운데의; 중간의,미들,We sat in the middle row at the theater.,우리는 극장에서 가운데 줄에 앉았어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1011,management,noun,경영; 관리,매니지먼트,The restaurant is under new management now.,그 식당은 이제 경영진이 바뀌었어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1012,original,adjective,원래의; 독창적인,어리지널,The original plan was to leave on Friday morning.,원래 계획은 금요일 아침에 떠나는 거였어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1013,victim,noun,피해자; 희생자,빅팀,The victims of the flood received emergency aid.,홍수 피해자들은 긴급 지원을 받았어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1014,cancer,noun,암,캔서,Early testing can help catch cancer in time.,조기 검사는 암을 제때 발견하는 데 도움이 돼.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1015,speech,noun,연설; 말,스피치,His speech at the wedding made everyone laugh.,결혼식에서 그의 축사가 모두를 웃게 했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1016,particular,adjective,특정한; 특별한,퍼티큘러,Is there a particular reason you chose this school?,이 학교를 선택한 특별한 이유가 있어?,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1017,trial,noun,재판; 시험,트라이얼,The trial lasted almost three months.,그 재판은 거의 3개월 동안 계속됐어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1018,none,pronoun,아무도 ~않다; 하나도 없음,넌,None of the stores were open that early.,그렇게 이른 시간에는 문 연 가게가 하나도 없었어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1019,item,noun,물품; 항목,아이템,Each item in this shop is handmade.,이 가게의 모든 물건은 수제품이야.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1020,weight,noun,무게; 체중,웨이트,I've been trying to lose some weight before summer.,여름 전에 살을 좀 빼려고 노력 중이야.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1021,tomorrow,adverb,내일,투모로우,Let's finish this tomorrow; I'm too tired now.,"이건 내일 끝내자, 지금은 너무 피곤해.",conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1022,positive,adjective,긍정적인; 확신하는,파지티브,Try to stay positive even when things get hard.,상황이 힘들어도 긍정적으로 지내려고 해 봐.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1023,citizen,noun,시민; 국민,시티즌,She became a citizen after living there ten years.,그녀는 그곳에 10년을 산 후 시민권자가 됐어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1024,trip,noun,여행,트립,Our trip to Jeju was way too short.,제주 여행은 너무 짧았어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1025,establish,verb,설립하다; 확립하다,이스태블리시,The company was established over fifty years ago.,그 회사는 50여 년 전에 설립됐어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1026,executive,noun,임원; 경영진,이그제큐티브,She became the youngest executive in the company.,그녀는 회사에서 최연소 임원이 됐어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1027,politics,noun,정치,팔러틱스,We try not to talk about politics at family dinners.,우리는 가족 식사 자리에서 정치 얘기는 안 하려고 해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1028,stick,verb,붙이다; 찌르다,스틱,Stick this note on the fridge so we don't forget.,잊어버리지 않게 이 메모를 냉장고에 붙여 놔.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1029,customer,noun,고객; 손님,커스터머,The customers lined up before the store opened.,가게가 문을 열기 전부터 손님들이 줄을 섰어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1030,manager,noun,관리자; 매니저,매니저,My manager let me leave early today.,매니저가 오늘 일찍 퇴근하게 해 줬어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1031,publish,verb,출판하다; 발표하다,퍼블리시,She published her first book at twenty-five.,그녀는 스물다섯 살에 첫 책을 출판했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1032,popular,adjective,인기 있는; 대중적인,파퓰러,This cafe is really popular on weekends.,이 카페는 주말에 정말 인기가 많아.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1033,sing,verb,노래하다,싱,We sang songs around the campfire all night.,우리는 밤새 모닥불 주위에서 노래를 불렀어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1034,ahead,adverb,앞에; 앞서서,어헤드,"The road ahead is blocked, so let's take another route.",앞쪽 도로가 막혔으니 다른 길로 가자.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
1035,conference,noun,회의; 학회,칸퍼런스,I'm attending a conference in Boston next week.,다음 주에 보스턴에서 열리는 콘퍼런스에 참석해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1036,total,adjective,전체의; 총,토털,The total cost of the trip was less than expected.,여행의 총비용이 예상보다 적게 들었어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1037,discover,verb,발견하다; 알아내다,디스커버,We discovered a great little restaurant near our hotel.,호텔 근처에서 아주 괜찮은 작은 식당을 발견했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1038,fast,adverb,빨리; 빠르게,패스트,You're walking too fast; slow down a little.,"너 너무 빨리 걷는다, 조금만 천천히 가.",conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1039,direction,noun,방향; 지시,디렉션,I think we're driving in the wrong direction.,우리 지금 잘못된 방향으로 가고 있는 것 같아.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1040,sunday,noun,일요일,선데이,We usually have a big family lunch on Sundays.,우리는 보통 일요일에 온 가족이 모여 점심을 먹어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1041,maintain,verb,유지하다; 관리하다,메인테인,It's hard to maintain a garden in this heat.,이런 더위에는 정원을 관리하기가 힘들어.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
1042,majority,noun,다수; 대다수,머조리티,The majority of my coworkers take the subway to work.,내 동료들 대다수는 지하철로 출근해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1043,peace,noun,평화,피스,I just want some peace and quiet this weekend.,이번 주말엔 그저 조용히 쉬고 싶어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1044,dinner,noun,저녁 식사,디너,We're having dinner at my parents' place tonight.,오늘 밤에 부모님 댁에서 저녁을 먹어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1045,partner,noun,파트너; 동반자,파트너,My business partner handles all the accounting.,내 사업 파트너가 회계를 전부 맡고 있어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1046,user,noun,사용자; 이용자,유저,The app has over a million users now.,그 앱은 이제 사용자가 백만 명이 넘어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1047,above,preposition,~위에,어버브,The clock hangs above the door in the kitchen.,시계는 부엌 문 위에 걸려 있어.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
1048,fly,verb,날다; 비행기로 가다,플라이,We're flying to Tokyo on Thursday morning.,우리는 목요일 아침에 비행기로 도쿄에 가.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1049,bag,noun,가방; 봉지,백,Don't forget your bag on the bus again.,버스에 또 가방 두고 내리지 마.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1050,therefore,adverb,그러므로; 따라서,데어포어,"The flight was cancelled; therefore, we stayed another night.",항공편이 취소돼서 우리는 하루 더 묵었어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1051,rich,adjective,부유한; 풍부한,리치,You don't have to be rich to be happy.,행복해지기 위해 부자일 필요는 없어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1052,tough,adjective,힘든; 강인한,터프,It's been a tough week at work for me.,이번 주는 회사에서 힘든 한 주였어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1053,owner,noun,주인; 소유자,오너,The owner of the cafe knows all the regulars by name.,카페 주인은 단골들 이름을 다 알아.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1054,inside,preposition,~안에; ~안으로,인사이드,Let's wait inside the station until the rain stops.,비가 그칠 때까지 역 안에서 기다리자.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1055,voter,noun,유권자,보터,Voters will decide on the new mayor next month.,유권자들이 다음 달에 새 시장을 뽑을 거야.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1056,tool,noun,도구; 공구,툴,Do you have the right tools to fix the shelf?,선반 고칠 만한 공구가 있어?,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1057,june,noun,6월,준,Their wedding is in early June this year.,그들의 결혼식은 올해 6월 초에 있어.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
1058,mountain,noun,산,마운틴,We're climbing the mountain behind our town on Saturday.,토요일에 우리 동네 뒷산에 올라갈 거야.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1059,range,noun,범위; 다양성,레인지,The store offers a wide range of coffee beans.,그 가게는 다양한 종류의 원두를 팔아.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1060,coach,noun,코치; 감독,코치,Our coach makes us run five laps every practice.,우리 코치는 연습 때마다 다섯 바퀴를 뛰게 해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1061,fear,noun,두려움; 공포,피어,She finally overcame her fear of flying.,그녀는 마침내 비행 공포를 극복했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1062,friday,noun,금요일,프라이데이,Let's grab drinks after work on Friday.,금요일 퇴근 후에 한잔하자.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1063,unless,conjunction,~하지 않는 한,언레스,We'll eat outside unless it starts raining.,비가 오지 않는 한 우리는 밖에서 먹을 거야.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
1064,nor,conjunction,~도 또한 아니다,노어,"He doesn't drink coffee, nor does he like tea.",그는 커피도 안 마시고 차도 좋아하지 않아.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
1065,expert,noun,전문가,엑스퍼트,You should ask an expert before fixing the wiring yourself.,배선을 직접 고치기 전에 전문가에게 물어보는 게 좋아.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1066,structure,noun,구조; 구조물,스트럭처,The old wooden structure survived the storm.,그 오래된 목조 구조물은 폭풍을 견뎌 냈어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1067,budget,noun,예산,버짓,We're on a tight budget for this trip.,이번 여행은 예산이 빠듯해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1068,insurance,noun,보험,인슈어런스,Does your insurance cover dental visits too?,네 보험은 치과 진료도 보장돼?,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1069,text,noun,문자; 텍스트,텍스트,Send me a text when you get home safely.,집에 잘 도착하면 문자 보내 줘.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1070,freedom,noun,자유,프리덤,Working from home gives me a lot of freedom.,재택근무는 나에게 많은 자유를 줘.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1071,crazy,adjective,미친; 말도 안 되는,크레이지,Traffic was crazy this morning because of the rain.,오늘 아침 비 때문에 차가 미친 듯이 막혔어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1072,reader,noun,독자,리더,The magazine asked readers to send in their stories.,그 잡지는 독자들에게 사연을 보내 달라고 했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1073,style,noun,스타일; 방식,스타일,I like your style; that jacket really suits you.,"네 스타일 마음에 들어, 그 재킷 정말 잘 어울린다.",conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1074,machine,noun,기계,머신,The coffee machine at work broke down again.,회사 커피 머신이 또 고장 났어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1075,november,noun,11월,노벰버,It usually starts getting cold in early November.,보통 11월 초부터 추워지기 시작해.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
1076,generation,noun,세대,제너레이션,Three generations of our family live in this house.,우리 가족 3대가 이 집에 살아.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1077,income,noun,소득; 수입,인컴,Rent takes up almost half of my income.,집세가 내 수입의 거의 절반을 차지해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1078,born,adjective,태어난,본,She was born in a small town near the coast.,그녀는 해안 근처 작은 마을에서 태어났어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1079,admit,verb,인정하다; 시인하다,어드밋,"I have to admit, your idea worked better than mine.","인정할게, 네 아이디어가 내 것보다 더 잘 통했어.",conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1080,sea,noun,바다,시,The house has an amazing view of the sea.,그 집은 바다 전망이 끝내줘.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1081,mouth,noun,입,마우스,"Don't talk with your mouth full, please.",입에 음식 넣고 말하지 마.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1082,throughout,preposition,~동안 내내; ~도처에,스루아웃,It rained throughout the night without stopping.,밤새도록 쉬지 않고 비가 내렸어.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
1083,web,noun,웹; 거미줄,웹,I found the recipe on the web in two minutes.,그 레시피를 인터넷에서 2분 만에 찾았어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1084,shake,verb,흔들다; 떨리다,셰이크,Shake the bottle well before you drink it.,마시기 전에 병을 잘 흔들어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1085,threat,noun,위협,스렛,The dark clouds were a threat to our picnic plans.,먹구름이 우리 소풍 계획에 위협이 됐어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1086,solution,noun,해결책; 용액,설루션,Moving closer to work might be the best solution.,직장 가까이로 이사하는 게 최선의 해결책일지도 몰라.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1087,shut,verb,닫다,셧,Please shut the window; it's getting cold in here.,"창문 좀 닫아 줘, 여기 추워진다.",conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
1088,travel,verb,여행하다,트래블,We traveled around Europe for a month last year.,우리는 작년에 한 달 동안 유럽을 여행했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1089,scientist,noun,과학자,사이언티스트,Scientists are studying how sleep affects memory.,과학자들은 수면이 기억력에 어떤 영향을 주는지 연구하고 있어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1090,hide,verb,숨기다; 숨다,하이드,The kids love to hide behind the curtains.,아이들은 커튼 뒤에 숨는 걸 좋아해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1091,obviously,adverb,분명히; 누가 봐도,아비어슬리,He was obviously tired after the long flight.,그는 긴 비행 후라 누가 봐도 피곤해 보였어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1092,refer,verb,언급하다; 참조하다,리퍼,She often refers to her notes during presentations.,그녀는 발표 중에 자주 메모를 참고해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1093,drink,verb,마시다,드링크,Drink plenty of water during the hot weather.,더운 날씨에는 물을 충분히 마셔.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1094,investigation,noun,조사; 수사,인베스티게이션,The police started an investigation into the robbery.,경찰이 그 강도 사건에 대한 수사를 시작했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1095,senator,noun,상원의원,세너터,The senator promised to support the new education bill.,그 상원의원은 새 교육 법안을 지지하겠다고 약속했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1096,unit,noun,단위; 부대,유닛,"What unit do you use to measure flour, cups or grams?",밀가루 잴 때 컵이랑 그램 중 어떤 단위를 써?,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1097,photograph,noun,사진,포토그래프,She keeps old photographs of her grandparents in a box.,그녀는 조부모님의 옛날 사진들을 상자에 보관해.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1098,july,noun,7월,줄라이,We always go camping in late July.,우리는 항상 7월 말에 캠핑을 가.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1099,television,noun,텔레비전,텔레비전,There's nothing good on television tonight.,오늘 밤엔 텔레비전에서 볼 만한 게 없네.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1100,sexual,adjective,성적인; 성의,섹슈얼,The company has strict rules against sexual harassment.,그 회사는 성희롱에 대한 엄격한 규정이 있어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1101,radio,noun,라디오,라디오,I listen to the radio while driving to work.,출근길 운전하면서 라디오를 들어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1102,prevent,verb,막다; 예방하다,프리벤트,Washing your hands helps prevent colds.,손 씻기는 감기 예방에 도움이 돼.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1103,modern,adjective,현대의; 현대적인,모던,The apartment is small but very modern inside.,그 아파트는 작지만 내부가 아주 현대적이야.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1104,senate,noun,상원,세닛,The Senate passed the bill by a narrow margin.,상원은 그 법안을 근소한 차이로 통과시켰어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1105,violence,noun,폭력,바이얼런스,The movie has too much violence for young kids.,그 영화는 어린아이들이 보기엔 폭력이 너무 많아.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1106,touch,verb,만지다; 감동시키다,터치,Please don't touch the paintings in the gallery.,미술관에서 그림에 손대지 마세요.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1107,feature,noun,특징; 기능,피처,The new phone has a great camera feature.,새 휴대폰은 카메라 기능이 아주 좋아.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1108,audience,noun,관객; 청중,오디언스,The audience clapped for almost five minutes.,관객들이 거의 5분 동안 박수를 쳤어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1109,evening,noun,저녁,이브닝,We took a walk along the river in the evening.,우리는 저녁에 강가를 따라 산책했어.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-balanced,false
1110,front,noun,앞; 앞면,프런트,Let's sit at the front of the bus.,버스 앞쪽에 앉자.,conversation,A2,conversation|essential|safe-auto-example|source:multilingual-core-massive,false
1111,hall,noun,복도; 회관,홀,The bathroom is down the hall on your right.,화장실은 복도를 따라가면 오른쪽에 있어.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
1112,task,noun,일; 과제,태스크,My first task today is answering all these emails.,오늘 내 첫 번째 할 일은 이 이메일들에 전부 답하는 거야.,conversation,A2,conversation|essential|safe-auto-example|source:kengdic,false
